序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）
154166,猎聘,能源/化工/环保,化学,外贸业务员（化学、药学、生物）,企业职位,杭州维康科技有限公司,50-99人,,武汉,杭州-西湖区,统招本科,1年以上,8-15k,,,,https://www.liepin.com/job/1969677741.shtml,20260113102117,,,,
154167,猎聘,能源/化工/环保,化学,分子生物学与蛋白质化学实验员,企业职位,拿因生物,1-49人,,武汉,杭州-余杭区,硕士,3-5年,15-18k·14薪,,,,https://www.liepin.com/job/1956534775.shtml,20240111172527,,,,
154168,猎聘,能源/化工/环保,化学,工艺工程师（无机化学）,企业职位,宁波福至新材料有限公司,50-99人,,武汉,宁波-北仑区,硕士,经验不限,12-24k,,,,https://www.liepin.com/job/1981153783.shtml,20260327100452,,,,
154169,猎聘,能源/化工/环保,化学,专利代理人（电学、化学）,企业职位,深圳市世纪恒程知识产权代理事务所,500-999人,,武汉,杭州-滨江区,本科,5年以上,12-16k,,,,https://www.liepin.com/job/1978543125.shtml,20260409112853,,,,
154170,猎聘,能源/化工/环保,化学,化学研发工程师,企业职位,杭州三荣材保新材料科技有限公司,1-49人,,武汉,杭州-萧山区,硕士,3-5年,15-20k,,,,https://www.liepin.com/job/1981083217.shtml,20260319143529,,,,
154171,猎聘,能源/化工/环保,化学,化学合成高级研究员,企业职位,浙江科聚生物医药有限公司,50-99人,,武汉,杭州-钱塘区,本科,5-10年,13-22k,,,,https://www.liepin.com/job/1976047345.shtml,20250725165109,,,,
154172,猎聘,能源/化工/环保,化学,化学分析员,企业职位,杭州精构生物科技有限责任公司,50-99人,,武汉,杭州-钱塘区,本科,3-5年,6-8k,,,,https://www.liepin.com/job/1971844721.shtml,20250625151706,,,,
154173,猎聘,能源/化工/环保,化学,高中物理/化学/生物,企业职位,群芳教育,100-499人,,武汉,温州,本科,1-3年,12-24k,,,,https://www.liepin.com/job/1965158167.shtml,20250304113255,,,,
154174,猎聘,能源/化工/环保,化学,Alevel 生物/化学双语教师,企业职位,浙中阿德科特学校,100-499人,,武汉,金华-浦江县,硕士,3-5年,20-25k·13薪,,,,https://www.liepin.com/job/1946079021.shtml,20220518163610,,,,
154175,猎聘,能源/化工/环保,化学,国际学科老师(数学/物理/化学),企业职位,新东方教育科技集团有限公司,10000人以上,,武汉,温州-鹿城区,本科,经验不限,12-20k,,,,https://www.liepin.com/job/1973169489.shtml,20250317135912,,,,
