序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）
7771,猎聘,能源/化工/环保,矿山,煤炭行业销售经理,企业职位,金星智控,100-499人,,西安,合肥-高新区,大专,3-8年,8-15k,,,,https://www.liepin.com/job/1982012859.shtml,20260424100810,,,,
7772,猎聘,能源/化工/环保,矿山,销售经理,企业职位,某知名公司,1-49人,,西安,合肥,学历不限,3-5年,15-20k,,,,https://www.liepin.com/a/74149691.shtml,20260609100045,,,,
7773,猎聘,能源/化工/环保,矿山,总经理（营销+经营）,企业职位,华夏矿业,100-499人,,西安,合肥-肥东县,本科,10年以上,20-50k,,,,https://www.liepin.com/job/1978764987.shtml,20260609110603,,,,
7774,猎聘,能源/化工/环保,矿山,区域销售经理(可全国驻地),企业职位,深圳盈泰利华技术有限责任公司,100-499人,,西安,合肥-蜀山区,统招本科,2-10年,7-21k,,,,https://www.liepin.com/job/1980803275.shtml,20260310154616,,,,
7775,猎聘,能源/化工/环保,矿山,助理研究员,企业职位,某国内专业技术服务公司,1-49人,,西安,芜湖,硕士,经验不限,20-23k,,,,https://www.liepin.com/a/75165077.shtml,20260428204153,,,,
7776,猎聘,能源/化工/环保,矿山,资源循环设备设计师,企业职位,合肥恒力装备有限公司,100-499人,,西安,合肥-高新区,本科,经验不限,15-23k·13薪,,,,https://www.liepin.com/job/1970924245.shtml,20251225154527,,,,
7777,猎聘,能源/化工/环保,矿山,光电智能产品销售经理（水务/燃气方向）,企业职位,安徽至博光电科技股份有限公司,100-499人,,西安,合肥-高新区,本科,5年以上,12-30k·14薪,,,,https://www.liepin.com/job/1976439003.shtml,20250812175931,,,,
7778,猎聘,能源/化工/环保,矿山,工艺技术员,企业职位,特码斯派克工业技术(安徽)有限公司,100-499人,,西安,淮南-田家庵区,统招本科,2年以上,5-10k,,,,https://www.liepin.com/job/1980272249.shtml,20260603161713,,,,
7779,猎聘,能源/化工/环保,矿山,质检员,企业职位,特码斯派克工业技术(安徽)有限公司,100-499人,,西安,淮南-田家庵区,学历不限,2年以上,3-6k,,,,https://www.liepin.com/job/1980278979.shtml,20260603161713,,,,
7780,猎聘,能源/化工/环保,矿山,大客户销售,企业职位,AVCIT 魅视,100-499人,,西安,合肥-肥西县,本科,3年以上,10-30k,,,,https://www.liepin.com/job/1982044675.shtml,20260511134735,,,,
7781,猎聘,能源/化工/环保,矿山,交付工程师,企业职位,安徽至博光电科技股份有限公司,100-499人,,西安,淮南-田家庵区,本科,3-5年,8-15k·14薪,,,,https://www.liepin.com/job/1976481211.shtml,20251224101635,,,,
7782,猎聘,能源/化工/环保,矿山,销售经理,企业职位,安徽至博光电科技股份有限公司,100-499人,,西安,合肥-高新区,大专,5年以上,10-15k·14薪,,,,https://www.liepin.com/job/1976327613.shtml,20250807142320,,,,
7783,猎聘,能源/化工/环保,矿山,安徽省区总经理(J10363),企业职位,天地和兴,500-999人,,西安,合肥-蜀山区,大专,10年以上,25-35k,,,,https://www.liepin.com/job/1982573253.shtml,20260515143533,,,,
7784,猎聘,能源/化工/环保,矿山,地质技术员/ 工程师,企业职位,富冶集团有限公司,2000-5000人,,西安,宣城,本科,5-10年,9-27k,,,,https://www.liepin.com/job/1976869593.shtml,20250901100701,,,,
7785,猎聘,能源/化工/环保,矿山,大客户经理,企业职位,安徽至博光电科技股份有限公司,100-499人,,西安,合肥-高新区,大专,5年以上,10-15k·14薪,,,,https://www.liepin.com/job/1976327545.shtml,20250807142213,,,,
7786,猎聘,能源/化工/环保,矿山,工业品销售-合肥,企业职位,鑫方盛数智科技,5000-10000人,,西安,合肥-肥西县,大专,2年以上,8-15k,,,,https://www.liepin.com/job/1978259765.shtml,20260525133839,,,,
7787,猎聘,能源/化工/环保,矿山,KA大客户销售主管15k（工业品类）,企业职位,鑫方盛数智科技,5000-10000人,,西安,合肥-肥西县,大专,2年以上,10-18k,,,,https://www.liepin.com/job/1982725739.shtml,20260521095256,,,,
7788,猎聘,能源/化工/环保,矿山,大客户销售,企业职位,合肥比达智能科技有限公司,50-99人,,西安,合肥-包河区,学历不限,3-5年,11-20k·14薪,,,,https://www.liepin.com/job/1982639131.shtml,20260519094812,,,,
7789,猎聘,能源/化工/环保,矿山,机械工程师,企业职位,上海亿博机电设备有限公司,100-499人,,西安,合肥-蜀山区,本科,3-5年,10-20k,,,,https://www.liepin.com/job/1981132435.shtml,20260325124001,,,,
7790,猎聘,能源/化工/环保,矿山,电仪工程师,企业职位,富冶集团有限公司,2000-5000人,,西安,宣城-宣州区,统招本科,5年以上,8-20k,,,,https://www.liepin.com/job/1976216171.shtml,20251119144637,,,,
7791,猎聘,能源/化工/环保,矿山,选矿工艺技术员/工程师,企业职位,富冶集团有限公司,2000-5000人,,西安,宣城,本科,3-5年,9-25k,,,,https://www.liepin.com/job/1976649797.shtml,20250901100847,,,,
7792,猎聘,能源/化工/环保,矿山,诊断工程师,企业职位,安徽信力共擎科技有限公司,50-99人,,西安,合肥-高新区,本科,3年以上,13-25k,,,,https://www.liepin.com/job/1982434741.shtml,20260511172721,,,,
7793,猎聘,能源/化工/环保,矿山,高级市场经理,企业职位,金茂智慧交通科技有限公司北京分公司,100-499人,,西安,合肥-包河区,本科,5-10年,15-30k,,,,https://www.liepin.com/job/1977951231.shtml,20251023101825,,,,
7794,猎聘,能源/化工/环保,矿山,销售工程师（合肥）,企业职位,三联泵业股份有限公司,1000-2000人,,西安,合肥-蜀山区,大专,1-3年,5-8k,,,,https://www.liepin.com/job/1979789649.shtml,20260115150935,,,,
7795,猎聘,能源/化工/环保,矿山,电仪技术员 /工程师,企业职位,富冶集团有限公司,2000-5000人,,西安,宣城,本科,5-10年,9-25k,,,,https://www.liepin.com/job/1976869725.shtml,20250901100545,,,,
7796,猎聘,能源/化工/环保,矿山,机械自动化设计师,企业职位,安徽中科贵专科技有限公司,50-99人,,西安,合肥-蜀山区,本科,1-3年,8-10k·13薪,,,,https://www.liepin.com/job/1982187023.shtml,20260509102244,,,,
7797,猎聘,能源/化工/环保,矿山,机械工程师,企业职位,特码斯派克工业技术(安徽)有限公司,100-499人,,西安,淮南-田家庵区,本科,3-5年,6-8k,,,,https://www.liepin.com/job/1982463477.shtml,20260512145649,,,,
7798,猎聘,能源/化工/环保,矿山,外贸业务员,企业职位,合肥恒大江海泵业股份有限公司,100-499人,,西安,合肥-长丰县,本科,3-5年,7-12k,,,,https://www.liepin.com/job/1979293527.shtml,20260506165746,,,,
7799,猎聘,能源/化工/环保,矿山,BD（业务发展经理）,企业职位,国汽大有时空,100-499人,,西安,合肥-包河区,大专,3年以上,8-15k,,,,https://www.liepin.com/job/1974369081.shtml,20251227115635,,,,
7800,猎聘,能源/化工/环保,矿山,咨询研究员（应急管理方向）,企业职位,中通服和信科技有限公司,500-999人,,西安,合肥-高新区,本科,5年以上,12-24k·14薪,,,,https://www.liepin.com/job/1980518205.shtml,20260228144920,,,,
7801,猎聘,能源/化工/环保,矿山,防爆设备生产总监,企业职位,特码斯派克工业技术(安徽)有限公司,100-499人,,西安,淮南-田家庵区,本科,10年以上,30-50k,,,,https://www.liepin.com/job/1979822061.shtml,20260202103410,,,,
7802,猎聘,能源/化工/环保,矿山,销售经理/主管,企业职位,金星智控,100-499人,,西安,淮南-田家庵区,大专,3年以上,7-12k,,,,https://www.liepin.com/job/1981145311.shtml,20260323102446,,,,
