序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,薪资,学历,工作经验,发布日期,福利标签,工作内容,任职要求,技能标签,公司行业,岗位链接
4808,猎聘,能源/化工/环保,给排水,建筑机电工程师,企业,某国内房地产开发经营公司,1-49人,浙江省,绍兴,绍兴,15-20k,本科,3-5年,20260605205248,五险 / 年终奖 / 五险一金 / 年终奖金,"】
1、负责建筑机电系统（暖通、给排水、电气）的深化设计与图纸审核，确保符合规范及施工要求；
2、主导施工现场的技术交底工作，解决机电安装过程中的技术难题，把控关键节点施工质量；
3、协调各专业管线综合排布，优化空间布局，有效规避碰撞冲突并提升施工效率；
4、参与项目进度管理，审核材料设备选型与采购计划，配合完成竣工验收及资料归档。
【","】
1、本科及以上学历，建筑环境与能源应用工程、电气工程或给排水等相关专业；
2、具备3年以上建筑机电设计或现场管理经验，熟悉国家相关设计规范及标准；
3、精通AutoCAD、Revit等绘图软件，具备BIM建模能力者优先考虑；
4、持有注册公用设备工程师或机电类执业资格证书者加分，具备良好的沟通协调能力。
 查看全部",Java / UG / AI / React / JavaScript / Go / jQuery / CSS / 沟通协调 / HTML / AutoCAD / PMP / CAD,房地产开发经营,https://www.liepin.com/a/76475945.shtml
4809,猎聘,能源/化工/环保,给排水,暖通工程师,企业,某杭州知名公司,100-499人,浙江省,杭州,杭州,15-25k·14薪,大专,10年以上,20260609170754,15薪 / 16薪 / 14薪 / 13薪,"】
- 负责项目中暖通、给排水及动力系统的设计与实施，确保系统的高效运行；
- 参与项目的前期规划，包括但不限于系统设计、成本预算、施工计划等；
- 对现有设备进行定期维护和故障排查，确保设备正常运转；
- 配合团队完成项目各阶段的技术文件编制及审核工作；
 查看全部","2. 如您应聘的岗位属于涉外劳务合作/海外岗位的，请务必核实招聘方对外劳务合作资质取得情况，同时注意自身资金安全，防范招聘欺诈。
 3. 本平台招聘方不向求职者提供任何收费服务。
 查看全部
 相关推荐
 展开
 杭州助理暖通工程师招聘
 杭州暖通技术工程师招聘
 杭州暖通主任工程师招聘
 杭州项目暖通工程师招聘
 杭州暖通工程经理招聘
 杭州安装暖通工程师招聘
 杭州暖通施工人员招聘
 杭州暖通技术员招聘
 杭州暖通制图员招聘
 杭州信息枢纽暖通工程师招聘
 杭州暖通客服工程师招聘
 杭州绿建暖通工程师招聘
 杭州能源调研工程师招聘
 杭州储备暖通工程师招聘
 杭州暖通调试工程师招聘
 杭州暖通工程预算员招聘
 杭州暖通工程管理员招聘
 杭州水气暖通工程师招聘
 杭州半导体暖通工程师招聘
 杭州液冷解决方案工程师招聘
 杭州暖通策略开发工程师招聘
 杭州IDC高级暖通工程师招聘
 杭州商业暖通主管招聘
 杭州制冷工程主管招聘
 杭州电暖器工程师招聘
 杭州暖通审图顾问招聘
 杭州工程暖通主管招聘
 杭州公共系统技术员招聘
 杭州空调安装工程师招聘
 杭州家装暖通设计师招聘
 相关公司
 浙江齐兴百年科技有限公司
 浙江飞猪网络技术有限公司
 食来运转(杭州)电子商务有限责任公司义乌分公司
 指南针人工智能科技(杭州)有限责任公司
 浙江三花汽车零部件有限公司
 杭州石炭纪环保科技有限公司
 杭州默勒迪生物技术有限公司
 杭州市余杭区工大智能制造技术与装备研究院
 浙江实创环境建设有限公司
 杭州石井电子商务有限公司
 杭州轻松互连科技发展有限公司
 浙江金艮投资集团有限公司
 华全凯(杭州)机电有限公司
 热门城市
 北京招聘网
 上海招聘网
 广州招聘网
 厦门招聘网
 杭州招聘网
 郑州招聘网
 南京招聘网
 天津招聘网
 重庆招聘网
 成都招聘网
 苏州招聘网
 商丘招聘网
 大连招聘网
 济南招聘网
 宁波招聘网
 无锡招聘网
 青岛招聘网
 沈阳招聘网
 台州招聘网
 西安招聘网
 武汉招聘网
 周边城市
 台州找工作
 丽水找工作
 宁波找工作
 温州找工作
 嘉兴找工作
 湖州找工作
 绍兴找工作
 金华找工作
 衢州找工作
 舟山找工作
 杭州招聘网
 >
 杭州暖通工程师招聘
 >
 暖通工程师招聘
 收藏职位
 立即沟通
 更新时间：2026-06-10",Java / UG / AI / React / JavaScript / Go / jQuery / CSS / HTML / PMP,专业技术服务,https://www.liepin.com/a/75918647.shtml
4810,猎聘,能源/化工/环保,给排水,机电安装经理-江浙沪京-中建系统,企业,某知名公司,10000人以上,浙江省,杭州,杭州,18-20k,统招本科,5-10年,20260610123015,15薪 / 16薪 / 13薪,"1.参与分公司项目合同评审，熟悉合同条款，了解安装专业的施工范围、内容和技术要求。
2.负责分公司安装类方案的审核及逐步提高安装类方案的编制质量。
3.负责分公司安装类工程技术人员的技术培训。
4.负责分公司项目安装专业的检查、指导、整改、提高。
5.负责分公司安装项目的安装标准化图册制定。
6.完成领导及相关职能管理部门交办的相关任务。","1、统招本科以上学历
2、对建筑行业民用建筑电气、给排水、消防、通风、弱电等安装专业的规范、标准熟悉，并熟悉WORD、CAD等常用办公软件；
3、有完整的民用建筑、商办楼、大型综合体的项目的机电全过程管理经验和项目经历
4、优先有一建，房建或者机电的方向都可以
 查看全部",Java / UG / AI / React / JavaScript / 项目管理 / Go / jQuery / CSS / HTML / PMP / CAD,房地产开发经营,https://www.liepin.com/a/75580243.shtml
4811,猎聘,能源/化工/环保,给排水,市政公用工程,企业,某知名上市公司,10000人以上,浙江省,杭州,杭州,20-25k,本科,5-10年,20260422100710,14薪 / 13薪,/,"1、主持或作为主要负责人完成3项及以上合同额≧2000万元的给排水或地下管网类的工程项目或着3项地市级及以上给排水或地下管网类的科研项目；
2、本科及以上学历、给排水相关专业；
3、具有5年以上给排水、地下管网类施工或技术研发经验。
 查看全部",Java / UG / AI / React / JavaScript / 项目管理 / Go / jQuery / CSS / HTML / PMP,互联网,https://www.liepin.com/a/74920539.shtml
4812,猎聘,能源/化工/环保,给排水,项目经理,企业,克劳斯玛菲机械,100-499人,嘉兴-南湖区,嘉兴-南湖区,嘉兴-南湖区,15-20k,统招本科,3年以上,20260515141021,免费班车 / 五险一金 / 餐费补贴 / 班车 / 14薪 / 13薪 / 带薪年假 / 15薪 / 定期体检 / 五险,"1.市场开拓与销售统筹：制定产品销售策略与业绩目标，搭建销售体系，拓展下游客户群体，维护核心客户合作关系，跟进销售全流程，确保年度销售任务落地。
2.产销协同管理：打通生产端与销售端的沟通壁垒，将订单需求反馈至生产部门，并跟进监督落实产品交付情况，提升整体运营效率。
3.成本管控与质量管理支持：协助产品部门完成成本核算，基于成本管控及时更新产品报价；协同技术部门开展产品验收，严格执行产品质量验收标准。
4.售后协调与客户关系维护：对接产业链各方合作伙伴，收集产品售后环节的各类问题反馈，对接内外部产品售后维保方，跟进维保问题整改，提升客户满意，维护公司品牌形象与行业口碑。
 三、","1.给排水科学与工程、工程造价、土木工程、建筑工程、材料科学与工程、环境工程、项目管理相关专业优先。
2.持有给排水/机电中级职称、建造师（市政/机电）证书、PMP项目管理证书优先。
3.熟悉产品材料特性、生产工艺、安装流程及行业相关规范标准，能完成项目技术方案解读与落地。
4.熟练使用CAD、BIM、Project等软件及Office办公工具。
5.独立负责销售全流程落地，严谨负责，具备统筹协调能力，能适应频繁出差。
 查看全部",UG / AI / React / 项目管理 / 英语 / Go / jQuery / CSS / HTML / PMP / CAD,机械/设备,https://www.liepin.com/job/1981739081.shtml
4813,猎聘,能源/化工/环保,给排水,厂务经理-(制造业、集团化),企业,某知名汽车零部件及配件上市公司,10000人以上,浙江省,宁波,宁波,25-30k,统招本科,5-10年,20260518113922,15薪 / 14薪 / 13薪,"：​
基础设施与设备保障：统筹厂区生产基础设施（厂房、电力、给排水、压缩空气、中央空调等）及冲压辅助设备（起重设备、输送设备、冷却系统等）的日常运维、定期检修与升级改造，制定维护计划与应急预案，确保生产连续性，降低设备故障率。​
安全与环保管理：建立并推行事业部安全生产管理体系，落实安全生产责任制，组织安全培训、隐患排查与应急演练，确保符合安全生产法规及公司安全标准；统筹环保管理工作（废水、废气、固废处理），确保环保设施正常运行，满足环保合规要求。​
成本与能耗管控：制定厂务相关成本（维修费用、能耗、后勤开支等）预算并严格管控，优化资源配置，推行节能降耗措施（如设备节能改造、水电管控），降低厂务运营成本；定期分析成本与能耗数据，形成报告并提出优化建议。​
团队与流程管理：建立并优化厂务管理流程（如设备报修流程、安全巡检流程、后勤服务流程），推动标准化、规范化管理。​
跨部门协同与项目推进：与生产、质量、采购、行政等部门紧密协作，对接生产需求，提供及时的厂务支持；牵头厂区基建改造、设备升级、环保治理等专项项目，制定项目计划并推动落地，确保项目按时、按质、按预算完成。​
合规与应急处理：确保厂务管理相关工作（如特种设备年检、消防验收、环保检测等）符合国家及地方相关法规政策；处理厂区突发事故（如设备故障、安全事故、自然灾害等），组织应急救援与善后处理。
 查看全部","2. 如您应聘的岗位属于涉外劳务合作/海外岗位的，请务必核实招聘方对外劳务合作资质取得情况，同时注意自身资金安全，防范招聘欺诈。
 3. 本平台招聘方不向求职者提供任何收费服务。
 查看全部
 相关推荐
 展开
 宁波厂务主管招聘
 宁波厂务环安运行工程师招聘
 宁波气化资深工程师招聘
 宁波厂务值班助理工程师招聘
 宁波流程标准化主任工程师招聘
 宁波工厂工程部维修技术员招聘
 宁波厂务动力暖通高级工程师招聘
 宁波厂务值班员招聘
 宁波电课工程师招聘
 宁波厂务建设总监招聘
 宁波水气化工程师招聘
 宁波厂务管理总监招聘
 宁波厂务副经理招聘
 宁波二次配技师招聘
 宁波现场运维专员招聘
 宁波厂务设施管理招聘
 宁波气化课工程师招聘
 宁波厂务机电经理招聘
 宁波二次配技术员招聘
 宁波厂务运维经理招聘
 宁波厂务助理经理招聘
 宁波主管厂务工程师招聘
 宁波中央动力工程师招聘
 宁波公用设施工程师招聘
 宁波FE高级工程师招聘
 宁波机械值班工程师招聘
 宁波气体系统工程师招聘
 宁波厂务电气技术员招聘
 宁波综合水电维修工招聘
 宁波厂务系统工程师招聘
 相关公司
 宁波一普通信设备科技有限公司
 慈溪市广联汽车配件有限公司
 宁波超霸能源有限公司
 宁波筑力企业咨询管理有限公司
 宁波鼎泓软件科技有限公司
 宁波市北仑莹立金属机械制造有限公司
 浙江荇海书店有限公司
 宁波信侠信息科技有限公司
 宁波华茂科技股份有限公司
 富伟精密机械(宁波)有限公司
 宁波海曙泰博通信设备有限公司
 宁波银捷通金融服务外包有限公司
 慈溪市掌起飞乐塑料制品厂
 宁波艾尔厨具制造有限公司
 宁波鄞州赫德实验学校
 宁波深澜服装有限公司
 热门城市
 北京招聘网
 上海招聘网
 广州招聘网
 厦门招聘网
 杭州招聘网
 郑州招聘网
 南京招聘网
 天津招聘网
 重庆招聘网
 成都招聘网
 苏州招聘网
 商丘招聘网
 大连招聘网
 济南招聘网
 宁波招聘网
 无锡招聘网
 青岛招聘网
 沈阳招聘网
 台州招聘网
 西安招聘网
 武汉招聘网
 周边城市
 杭州找工作
 台州找工作
 丽水找工作
 温州找工作
 嘉兴找工作
 湖州找工作
 绍兴找工作
 金华找工作
 衢州找工作
 舟山找工作
 宁波招聘网
 >
 宁波厂务招聘
 >
 厂务经理-(制造业、集团化)招聘
 收藏职位
 立即沟通
 更新时间：2026-06-09",Java / UG / AI / React / JavaScript / Go / jQuery / CSS / HTML / PMP / CAD,汽车零部件及配件,https://www.liepin.com/a/75254451.shtml
4814,猎聘,能源/化工/环保,给排水,水处理主任工程师（零排/中水）,企业,杭州司迈特水处理工程有限公司,100-499人,杭州-钱塘区,杭州-钱塘区,杭州-钱塘区,15-22k·14薪,统招本科,5年以上,20260605151048,交通补助 / 年度旅游 / 五险一金 / 餐费补贴 / 16薪 / 双休 / 14薪 / 13薪 / 带薪年假 / 15薪 / 定期体检 / 年终奖 / 年终奖金 / 五险 / 住房补贴,"：
1.完成（投标）技术方案编制或投标书的编制，能够根据项目要求独立完成初步的工艺设计，配合商务人员完成答疑和客户沟通。
2.合同签订后，根据合同、技术协议去独立完成细化设计工作，包括：水量平衡图、PFD和P&ID、高程图、设备布置图、核心设备的计算和选型、系统药剂投药量的计算、设备/阀门/仪表清单、牵头完成各个专业的提资工作、供应商的洽谈和对接工作、设备图纸的绘制、管道总平面以及ISO图纸的设计、图纸评审、工艺手册的编制等工作、有技术能力去解决现场安装调试的技术难题以及客户端的技术培训。
3.多余多人协作的项目，能够以项目主设的身份，能够带领设计小组，合理的安排工作，并且指导小组成员的工作，带领团队协作达成设计目标。
4.公司安排的其它任务。","1、本科及以上学历，环境工程、给排水科学与工程等相关专业。精通以膜法工艺为核心的全流程交付，熟悉市面常用各个主流品牌膜的特性、应用和设计，并且以膜为核心的前后延伸，如预处理，膜后端的深度处理工艺。
2、至少主导过5个以上项目以膜法为核心的全流程的设计或主导设计的经历，承担过从项目前期售前的工作，以及合同签订后的全流程执行设计工作。有团队管理经验者优先。
3、精通以膜法为核心的全流程设计，包括预处理常规工艺的设计，精通膜系统的系统设计计算。有做成本预算的能力，并且对市场的供应链有一定的熟悉和了解。清晰的思路去完成工作上各个交界面的主动沟通和处理的能力，包括：对电控的工艺条件提资、逻辑顺控的提资、对土建专业的提资图、对管廊、设备的设计提资、对给排水、暖通等专业进行提资，设备供应商的沟通和对接能力，项目和安装调试的技术交底，对客户进行培训。
4、有现场指导安装和调试的工作经历。
5、能够熟练使用Office办公软件（Word, Excel, PowerPoint），精通AutoCAD之外至少精通一种三维软件，可以用三维软件独立进行装备设计或工艺管道的设计，如PDMS、Plant3D、Solidworks等，对于综合工作能力特别突出者软件的使用可以适当放宽，但至少懂建模的工作全流程和管控要点以及模型的审核。
 查看全部",UG / AI / React / 团队管理 / Excel / Go / jQuery / CSS / HTML / AutoCAD / SolidWorks / PMP / CAD,环保,https://www.liepin.com/job/1983192415.shtml
4815,猎聘,能源/化工/环保,给排水,水利施工员,企业,浙江晟铭建设工程有限责任公司,50-99人,金华-婺城区,金华-婺城区,金华-婺城区,10-15k,本科,10年以上,20260529145848,解决驻外工作生活问题。4 / 优先提拔内部员工。四 / 14薪 / 产假 / 项目绩效奖金。5 / 包吃 / 业务体量充足 / 定期组织员工体检 / 交通补贴 / 生活保障：包吃包住 / 保障体系：入职缴纳社保 / 技能提升培训 / 宿舍设施齐全 / 保障员工身心健康。6 / 晋升通道 / 婚假 / 13薪 / 带薪年假 / 享受带薪年假 / 社保,"1、负责水利工程项目施工现场日常管理工作，严格按照施工图纸、施工规范及施工方案组织现场施工，把控施工全过程，确保施工工序合规、工程质量达标。
2、做好现场技术交底工作，对施工班组进行技术指导、安全交底，及时解答施工过程中的技术问题，纠正不规范施工行为。
3、负责施工现场工程量核实、数据测量、进度统计工作，每日记录施工日志，整理施工原始资料、验收资料、签证资料等，保障资料完整、真实、可追溯。
4、跟进项目施工进度，根据项目总工期计划，合理调配现场人力、物力资源，及时排查施工进度滞后问题，确保工程按期完工。
5、配合监理、甲方及项目部完成工程巡检、隐蔽工程验收、分部分项工程验收、竣工验收等各项工作，对接各方沟通协调现场事宜。
6、严格落实施工现场安全生产、文明施工管理要求，排查现场安全隐患，杜绝安全事故，维护施工现场标准化作业环境。
7、协助完成工程材料进场验收、清点工作，核对材料规格、数量，把控材料使用效率，杜绝浪费。
二、","1、专科及以上学历，水利水电工程、建筑工程、土木工程等相关专业，有1年及以上水利施工现场工作经验者优先，优秀应届生也可培养。
2、熟悉河道整治、堤防加固、农田水利、给排水、水闸、泵站等水利工程施工工艺及验收规范，能看懂施工图纸。
3、熟练使用水准仪、经纬仪、全站仪等测量仪器，掌握工程量计算、施工资料整理基本流程。
4、具备良好的现场统筹、沟通协调及问题处理能力，工作认真负责、吃苦耐劳，能适应工地驻场、出差及项目驻场工作。
5、无重大安全事故记录，服从项目部管理，有较强的责任心、执行力和团队协作
6、持有施工员证、安全员证、建造师证等相关职业证书者优先录用。
2、带薪福利：享受带薪年假、法定节假日、项目休假、婚假、产假等各类法定假期。
3、生活保障：包吃包住，宿舍设施齐全，环境整洁，解决驻外工作生活问题。
4、福利补贴：发放高温补贴、出差补贴、交通补贴、节日福利、年终奖金、项目绩效奖金。
5、保障体系：入职缴纳社保，定期组织员工体检，保障员工身心健康。
6、成长发展：公司项目稳定、业务体量充足，提供完善的岗前培训、技能提升培训，清晰的晋升通道（施工员→技术负责人→项目经理），优先提拔内部员工。
四、工作地点
全国各地水利工程项目现场
 查看全部",UG / AI / React / 项目管理 / Go / jQuery / CSS / 沟通协调 / HTML / PMP / 算法,工程施工,https://www.liepin.com/job/1982985641.shtml
4816,猎聘,能源/化工/环保,给排水,管道材料选型主任,企业,某知名上市公司,10000人以上,浙江省,杭州,杭州,25-40k,统招本科,5-10年,20260610160223,15薪 / 16薪 / 14薪 / 13薪,"1.负责牵头管道、给排水、暖通等专业的标准制定与相关标准的审查工作；
2.牵头完成设计院的管道、给排水、暖通等专业设计相关的质量、标准体系的建设和维护，完成相关标准、程序、制度的编制工作；
3.负责对设计院的管道、给排水、暖通专业技术质量管理，包括收集本专业的设计质量问题、进行诊断和分析、提出改进意见并反馈，编制管道专业板块的质量报告；
4.收集行业新材料、新技术、新设备等情报信息，识别可应用点，输出可应用范围及应用方案，内部进行论证、实验验证、评审分析，直到应用与推广；
5.审查设计图纸是否符合法律法规、工程建设强制性标准和有关规范规程规定，是否存在安全隐患，是否符合设计院标准。","1、本科及以上学历，化工类专业；
2、5年以上管道设计经验，有管道设计质量管理工作经验，熟悉管道设计，熟悉材料选型；
3、熟悉所在行业的特点和发展趋势，熟悉管道、给排水等质量相关标准和规范。
4、负责管道、排水、暖通图纸审核
 查看全部",Java / UG / AI / React / JavaScript / Go / jQuery / CSS / HTML / PMP,环保,https://www.liepin.com/a/72930065.shtml
4817,猎聘,能源/化工/环保,给排水,公用工程主管,企业,某杭州制药公司,1-49人,浙江省,杭州,杭州,11-18k·14薪,大专,5-10年,20260608144242,15薪 / 16薪 / 14薪 / 13薪,"：
职责
1、负责洁净公用设施包括制药用水、工艺气体等系统的施工质量监督执行，按质量规范过程控制及问题发现和监督整改落实。
2、负责洁净厂房包括彩板、通风、给排水、工业蒸汽等系统的施工质量，对于发现的问题提出整改意见，监督供应商及工程建设方完成整改。
3、参与主导调试以及最终验收，管理供应商按要求提交资料，在功能、合规和安全符合验收条件和验收合格的前提下接收系统。
4、负责公用设施设备如冷水系统、净化空调系统、制药用水系统、制冷系统及压缩空气系统的日常运行、维护保养和验证，确保以上系统安全正常运行。
5、完成以上系统的SOP以及操作手册编写、负责相关SOP和操作手册的培训和执行。
6、负责给操作人员提供相关技术支持和培训，主导处理工程运营过程中出现的设备故障。","1、本科及以上学历，熟悉药企的制药用水、洁净室等工作原理及日常运行要求。
2、3年以上药厂工作经验。
3、熟练使用现代化办公软件、Auto CAD等制图软件。
4、工作责任心强，能承受较大工作压力，有较强的沟通协调能力、计划和执行能力。
 查看全部",Java / UG / AI / React / JavaScript / Go / jQuery / CSS / 沟通协调 / HTML / PMP / CAD,制药,https://www.liepin.com/a/75749337.shtml
4818,猎聘,能源/化工/环保,给排水,化学实验员,企业,浙江嘉熹环保科技有限公司,50-99人,嘉兴-南湖区,嘉兴-南湖区,嘉兴-南湖区,4-7k,大专,1-3年,20260522100938,15薪 / 饮料 / 13薪,"：
1.负责进行实验室日常检测工作执行与记录，包括试剂准备、实验仪器调试，实验操作等；
2.根据标准操作规程、实验方案进行样品采集、处理、实验操作，实验数据分析；
3.维护和校准实验室一起设备，确保检测结果准确可靠；
4.遵守实验室质量管理体系要求，完成相关文档编写与归档；
5.遵守实验室安全规范，落实各项安全管理措施。
6.服从公司领导安排的其他工作事项。","1.大专及以上学历，分析化学、环境工程、给排水等相关专业；
2.1-3年相关检测工作经验，具备良好的实验室操作技能和安全意识，熟悉实验仪器的使用和维护；
3.熟练使用各类水质检测标准，熟悉操作常规检测仪器;氯碱行业分析、检测相关经验优先；
4.具备良好的团队合作精神，能够与其他实验人员协作完成实验任务；
5.担任过氯碱相关行业企业实验室主任优先考虑，薪资面议。
 查看全部",UG / AI / React / 数据分析 / Go / jQuery / CSS / HTML / PMP,环保,https://www.liepin.com/job/1982762195.shtml
4819,猎聘,能源/化工/环保,给排水,营销总监,企业,某杭州建材公司,100-499人,浙江省,杭州,杭州,30-35k,本科,10年以上,20260525144615,16薪 / 14薪 / 13薪 / 15薪 / 年终奖,"：
1. 销售组织与管理
· 统筹杭绍、宁波区域销售团队，制定阶段销售策略，推动高端洁具、厨电及给排水产品的销售目标达成。
· 协调内部资源，赋能渠道（直营零售、设计师等），提升整体销售转化率。
2. 产品分析与厂家沟通
· 负责高端洁具、厨电产品的市场调研、竞品分析及产品线规划。
· 对接上游厂家（如品牌方、生产商），协调技术培训及销售政策，确保产品资源高效落地。
3. 新零售营销与政策落地
· 设计师渠道推广政策：策划并落地针对高端设计师群体的沙龙、品鉴会、项目合作政策，通过设计师渠道带动高端产品销售。
· 异业联盟与小区深耕政策：联合高端建材异业品牌（如瓷砖、暖通、定制家居）制定联单、团购政策；针对高端楼盘小区，策划“拎包入住”或样板间植入活动。
· 新品上市及爆品打造政策：针对厨电、洁具新品，制定线上线下联动的营销政策。
· 节假日及大促节点政策：统筹“618”“双11”“双旦”及家装节等重点节点的促销政策制定，明确折扣、满赠、赠品、安装升级等具体规则，并督导终端落地执行。
【","】
1. 学历专业：本科及以上学历，市场营销、设计类、建材相关专业优先。
2. 工作经验：10年以上建材、家居、厨电行业工作经验，其中具备5年以上市场或产品团队管理经验（8年以上管理经验者更佳）。
3. 核心能力：
 · 深耕高端洁具、厨电或给排水行业，熟悉产品特性及市场运作规律；
 · 具备优秀的厂家沟通谈判能力及跨部门协调能力；
 · 对新零售模式有深刻理解，有成功的营销活动落地案例，熟悉设计师渠道、异业联盟等操作模式；
 · 结果导向，具备较强的团队领导力和抗压能力。
 查看全部",Java / UG / AI / React / JavaScript / 团队管理 / Go / jQuery / CSS / HTML / PMP,建材,https://www.liepin.com/a/73851667.shtml
4820,猎聘,能源/化工/环保,给排水,高级污水站站长,企业,开源环境科技集团有限公司,100-499人,绍兴-柯桥区,绍兴-柯桥区,绍兴-柯桥区,16-20k,大专,5年以上,20260610084337,绩效奖金 / 五险一金 / 岗位晋升 / 16薪 / 14薪 / 13薪 / 带薪年假 / 15薪 / 发展空间大 / 年终奖 / 年终奖金 / 管理规范 / 五险 / 领导好,"注：
1、要求技术型站长，直接向运营中心负责人汇报；
2、薪资要20万以上水平的，要资深。
岗位内容：
• 站点运行管理：全面负责站点生产运行，确保水质达标、生产有序
• 工艺优化：根据运行数据优化工艺参数，降低药耗、电耗
• 设备维护：组织日常设备巡检、简单维护保养
• 研发协同：参与创新研究院研发课题的实验验证与数据采集
• 人员管理：领导操作工，负责排班、现场纪律管理","• 5年以上污水处理站管理经验，熟悉生化/膜工艺
• 具备技术攻关能力，能独立解决现场技术问题
• 大专及以上学历，环境工程、给排水等相关专业
• 愿意参与研发项目，具备数据记录和分析能力
 查看全部",UG / AI / React / Go / jQuery / CSS / HTML / PMP,环保,https://www.liepin.com/job/1982968435.shtml
4821,猎聘,能源/化工/环保,给排水,电气设计,企业,某国内大型新能源公司,2000-5000人,浙江省,嘉兴,嘉兴,20-30k,统招本科,经验不限,20260610160223,/,"1.负责建筑电气系统方案设计及施工图绘制 
2.独立完成变配电、照明、防雷接地等专业计算 
3.协调暖通、给排水等专业完成机电综合管线设计 
4.参与项目现场技术交底与施工配合","1.电气工程及其自动化相关专业本科及以上学历 
2.5年以上建筑电气设计院或设计公司工作经验 
3.熟练掌握设计软件操作 
4.具有大型化工项目，尤其是新能源锂电材料项目经验者优先
 查看全部",Java / UG / AI / React / JavaScript / Go / jQuery / CSS / HTML / PMP,新能源,https://www.liepin.com/a/76403831.shtml
4822,猎聘,能源/化工/环保,给排水,绿城中国-浙江区域-机电设计专业经理/副总监（浙江）,企业,绿城中国浙江区域集团,10000人以上,杭州-西湖区,杭州-西湖区,杭州-西湖区,15-25k·16薪,本科,8年以上,20251106145044,绩效奖金 / 五险一金 / 团建 / 餐费补贴 / 16薪 / 14薪 / 18薪 / 带薪年假 / 15薪 / 节日礼物 / 通讯津贴 / 年终奖 / 年终奖金 / 五险,"：
1、负责片区公司所有项目机电（暖通、给排水、电气、弱电智能化）设计方案的全面把控，确保其技术可行性、安全性和经济性。
2、主导解决项目中的重大技术难题和设计冲突，提供权威的技术决策和解决方案。
3、配合区域建立和维护机电设计标准、技术规范和质量管理体系，推动设计流程的标准化和优化。","1、本科及以上学历，暖通、电气、给排水等相关工程专业。
2、8年以上机电设计经验，其中至少3年在大型设计院或知名房地产公司担任机电设计经理及以上职位。
3、精通国家及地方机电设计规范、标准及行业发展趋势。
 查看全部",UG / AI / React / Go / jQuery / CSS / HTML / PMP,房地产开发经营,https://www.liepin.com/job/1978022373.shtml
4823,猎聘,能源/化工/环保,给排水,水务环境技术专员,企业,宁波欣智信息科技有限公司,50-99人,宁波-鄞州区,宁波-鄞州区,宁波-鄞州区,8-15k,本科,5-10年,20260518153812,全勤奖 / 绩效奖金 / 五险一金 / 聚餐 / 加班补贴 / 14薪 / 13薪 / 带薪年假 / 团队聚餐 / 节日礼物 / 定期体检 / 优秀员工奖 / 年终奖 / 年终奖金 / 五险,：,"1.负责公司给排水的业务体系，根据各项监测成果分析总结，对区域给排水体系的健康状况进行预判和评估，对CCTV检测报告进行分析审核，并编制评估报告。 
2.编写给排水监测数字化项目初步设计方案（含监测点的布置），编写水务环境类项目建设方案和规划方案，制订“一河一策”，“一口一策”等相关配套方案。 
3.负责公司水务环境和供排水一体化的大型项目，做好项目管理和技术总结相关工作。 
4.负责公司水务环境科研项目，与高校和科研机构定期交流，研究水务环境的变化规律，掌握相关模型算法。
5.充分了解学习公司智慧水务平台的业务体系，对遥感、BIM、化学实验等相关专业技术要有一定程度的了解。
 查看全部",UG / AI / React / 项目管理 / Go / jQuery / CSS / HTML / PMP / 算法,物联网,https://www.liepin.com/job/1960532559.shtml
4824,猎聘,能源/化工/环保,给排水,安装经理,企业,gad杰地设计,1000-2000人,杭州-西湖区,杭州-西湖区,杭州-西湖区,11-16k·18薪,本科,8年以上,20260610091602,五险一金 / 年度旅游 / 岗位晋升 / 16薪 / 18薪 / 带薪年假 / 15薪 / 节日礼物 / 子女福利 / 优秀员工奖 / 五险,"： 
1、负责项目的安装工程施工管理工作，确保工程进度及工程质量，确保项目按时交付； 
2、负责项目现场安装施工质量管理，参加项目施工方案及施工图审核； 
3、组织项目工程重要节点的交底、样板评审、监督检查及验收，定期对项目现场实施情况进行复盘； 
4、及时、高效的拉通设计、成本等跨部门协同； 
5、前置管控、预判，做好安装工程和其他工程专业的交叉协同；
6、负责各子项安装工程的各项隐蔽验收、分项验收及竣工验收等验收工作；
7、充分利用各项资源做好对外各个安装配套工程主管部门的沟通与协调，保证项目有序推进。","1、给排水、建筑机电工程等相关专业，全日制本科及以上学历；
2、具有8年以上安装项目管理工作经验，有公共建筑、综合体项目全周期工程安装管理经验； 
3、熟悉国家及地方的建筑机电安装相关法规、政策和标准；
4、熟悉杭州地区各个专项配套工程的报批和验收流程；
5、做事严谨认真，有较强的沟通协调和现场管理能力，具有良好的合作精神。
 查看全部",UG / AI / React / 项目管理 / Go / jQuery / CSS / 沟通协调 / HTML / PMP,建筑/工程设计,https://www.liepin.com/job/1975852861.shtml
