序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）,岗位类型一级,岗位类型二级,"岗位类型
企业/公务员/事业单位/军队文职"
153712,猎聘,能源/化工/环保,化学,磷酸铁锂材料研发工程师（正极材料）,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-栖霞区,硕士,1-3年,20-40k·16薪,,,,https://www.liepin.com/a/71193481.shtml,20260609111952.0,,,,,,,
153713,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某知名公司,1-49人,,杭州,苏州,学历不限,经验不限,20-25k·13薪,,,,https://www.liepin.com/a/75259573.shtml,20260525093356.0,,,,,,,
153714,猎聘,能源/化工/环保,化学,铁锂/钠电电芯研发,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,硕士,1-3年,30-40k·16薪,,,,https://www.liepin.com/a/73848789.shtml,20260608093315.0,,,,,,,
153715,猎聘,能源/化工/环保,化学,常州国际学校教师,猎头职位,某知名公司,100-499人,,杭州,常州,硕士,经验不限,15-25k·13薪,,,,https://www.liepin.com/a/74591773.shtml,20260519122138.0,,,,,,,
153716,猎聘,能源/化工/环保,化学,结晶工程师,猎头职位,某苏州制药公司,100-499人,,杭州,苏州,硕士,3-5年,17-22k,,,,https://www.liepin.com/a/75530493.shtml,20260609094351.0,,,,,,,
153717,猎聘,能源/化工/环保,化学,材料工程师,猎头职位,某大型新能源公司,5000-10000人,,杭州,南京,硕士,3-5年,20-40k·13薪,,,,https://www.liepin.com/a/75259535.shtml,20260506085745.0,,,,,,,
153718,猎聘,能源/化工/环保,化学,（高级）制造工程师 (表面处理),猎头职位,某苏州批发/零售公司,100-499人,,杭州,苏州,本科,经验不限,20-25k·13薪,,,,https://www.liepin.com/a/74454139.shtml,20260601133928.0,,,,,,,
153719,猎聘,能源/化工/环保,化学,合成工程师,猎头职位,某苏州大型制药公司,500-999人,,杭州,苏州,本科,3-5年,18-24k,,,,https://www.liepin.com/a/75389511.shtml,20260609161914.0,,,,,,,
153720,猎聘,能源/化工/环保,化学,质量检测员/测试员,猎头职位,某日化公司,100-499人,,杭州,常州,大专,经验不限,7-9k·14薪,,,,https://www.liepin.com/a/75938483.shtml,20260522145127.0,,,,,,,
153721,猎聘,能源/化工/环保,化学,合成工程师,猎头职位,某苏州大型制药公司,500-999人,,杭州,苏州,统招本科,6-10年,14-22k,,,,https://www.liepin.com/a/75382973.shtml,20260608152319.0,,,,,,,
153722,猎聘,能源/化工/环保,化学,工艺技术负责人,猎头职位,某国内化工公司,,,杭州,连云港,学历不限,经验不限,20-25k·13薪,,,,https://www.liepin.com/a/76027193.shtml,20260528092652.0,,,,,,,
153723,猎聘,能源/化工/环保,化学,药物分析与稳定性研究专员,猎头职位,某苏州大型制药公司,1000-2000人,,杭州,苏州-吴中区,统招本科,3-5年,12-15k·13薪,,,,https://www.liepin.com/a/74712529.shtml,20260416111606.0,,,,,,,
153724,猎聘,能源/化工/环保,化学,高级分析研究员,猎头职位,某南京知名公司,1000-2000人,,杭州,南京,统招本科,5-10年,18-25k,,,,https://www.liepin.com/a/75132307.shtml,20260428105131.0,,,,,,,
153725,猎聘,能源/化工/环保,化学,工艺技术负责人,猎头职位,某国内化工公司,,,杭州,连云港,本科,5-10年,15-30k,,,,https://www.liepin.com/a/76125401.shtml,20260608093542.0,,,,,,,
153726,猎聘,能源/化工/环保,化学, ADC偶联高级研究员,猎头职位,某知名公司,100-499人,,杭州,南京,硕士,5-10年,25-35k·14薪,,,,https://www.liepin.com/a/74141849.shtml,20260519100813.0,,,,,,,
